MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Halazepam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Interferon Gama-1b,Interferon gamma receptor agonist,Interferon gamma receptor
Tinidazole,DNA inhibitor,DNA
Articaine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Ethosuximide,Voltage-gated T-type calcium channel blocker,Voltage-gated T-type calcium channel
Poractant Alfa,Surfactant agent,
Selenium Sulfide,Unknown,
Sucroferric Oxyhydroxide,Phosphate sequestering agent,Phosphate
Olodaterol,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Finafloxacin,DNA gyrase inhibitor,DNA gyrase
Dronedarone,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
Db959,Peroxisome proliferator-activated receptor delta agonist,Peroxisome proliferator-activated receptor delta
4sc-203,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Altiratinib,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Kw-2449,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Pl-225b,Insulin-like growth factor I receptor inhibitor,Insulin-like growth factor I receptor
Rg-7741,Serine/threonine-protein kinase Chk1 inhibitor,Serine/threonine-protein kinase Chk1
Sb-85635,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Tg-02,Cyclin-dependent kinase 2 inhibitor,Cyclin-dependent kinase 2
Tg-02,Cyclin-dependent kinase 7 inhibitor,Cyclin-dependent kinase 7
Leq506,Smoothened homolog antagonist,Smoothened homolog
Msc-2364447,Tyrosine-protein kinase BTK inhibitor,Tyrosine-protein kinase BTK
Cb-03-01,Androgen Receptor antagonist,Androgen Receptor
Abemaciclib,Cyclin-dependent kinase 6 inhibitor,Cyclin-dependent kinase 6
Milciclib,Cyclin-dependent kinase 1 inhibitor,Cyclin-dependent kinase 1
Cenicriviroc,C-C chemokine receptor type 5 antagonist,C-C chemokine receptor type 5
Patidegib,Smoothened homolog antagonist,Smoothened homolog
Modimelanotide,Melanocortin receptor 3 agonist,Melanocortin receptor 3
Binimetinib,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Bremelanotide,Melanocortin receptor 4 agonist,Melanocortin receptor 4
Vapreotide,Somatostatin receptor 2 agonist,Somatostatin receptor 2
Brivaracetam,Synaptic vesicle glycoprotein 2A modulator,Synaptic vesicle glycoprotein 2A
Becatecarin,DNA topoisomerase I inhibitor,DNA topoisomerase I
Roxadustat,HIF-prolyl hydroxylase inhibitor,Hypoxia-inducible factor prolyl hydroxylase
Obatoclax,Bcl-2-like protein 10,Bcl-2-like protein 10
Rivipansel,Leukocyte adhesion molecule-1 antagonist,Leukocyte adhesion molecule-1
Di17e6,Vitronectin receptor alpha inhibitor,Vitronectin receptor alpha
Oportuzumab Monatox,Epithelial cell adhesion molecule binding agent,Epithelial cell adhesion molecule
M195,Myeloid cell surface antigen CD33 other,Myeloid cell surface antigen CD33
Ad-159,Envelope glycoprotein gp160 inhibitor,Envelope glycoprotein gp160
Cal,Parathyroid hormone-related protein inhibitor,Parathyroid hormone-related protein
Cetirizine,Histamine H1 receptor antagonist,Histamine H1 receptor
Isoniazid,Enoyl-[acyl-carrier-protein] reductase inhibitor,Enoyl-[acyl-carrier-protein] reductase
Finasteride,Steroid 5-alpha-reductase 2 inhibitor,Steroid 5-alpha-reductase 2
Sorafenib,Serine/threonine-protein kinase RAF inhibitor,Serine/threonine-protein kinase RAF
Methysergide,Serotonin 1a (5-HT1a) receptor partial agonist,Serotonin 1a (5-HT1a) receptor
Dextromethorphan,Glutamate [NMDA] receptor subunit epsilon 1 antagonist,Glutamate [NMDA] receptor subunit epsilon 1
Filgrastim,Granulocyte colony stimulating factor receptor agonist,Granulocyte colony stimulating factor receptor
Armodafinil,Dopamine transporter inhibitor,Dopamine transporter
Hydrocortamate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Estradiol Acetate,Estrogen receptor alpha agonist,Estrogen receptor alpha
Menthol,Transient receptor potential cation channel subfamily A member 1 opener,Transient receptor potential cation channel subfamily A member 1
Amlexanox,Phosphodiesterase 4 inhibitor,Phosphodiesterase 4
"Estrogens, Conjugated Synthetic A",Estrogen receptor agonist,Estrogen receptor
Ketorolac,Cyclooxygenase inhibitor,Cyclooxygenase
Oxybate,GABA-B receptor agonist,GABA-B receptor
Deslanoside,Sodium/potassium-transporting ATPase inhibitor,Sodium/potassium-transporting ATPase
Digitoxin,Sodium/potassium-transporting ATPase inhibitor,Sodium/potassium-transporting ATPase
Mercaptopurine,Amidophosphoribosyltransferase inhibitor,Amidophosphoribosyltransferase
Paromomycin,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Interferon Beta-1a,Interferon alpha/beta receptor agonist,Interferon alpha/beta receptor
Ustekinumab,Interleukin-12 inhibitor,Interleukin-12
Lomefloxacin,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase
Niclosamide,DNA inhibitor,DNA
Enflurane,Potassium channel subfamily K member 3 opener,Potassium channel subfamily K member 3
Phensuximide,Voltage-gated T-type calcium channel blocker,Voltage-gated T-type calcium channel
Calfactant,Surfactant agent,
Potassium Sulfate,Unknown,
Metaxalone,Unknown,
Obinutuzumab,B-lymphocyte antigen CD20 inhibitor,B-lymphocyte antigen CD20
Pembrolizumab,Programmed cell death protein 1 inhibitor,Programmed cell death protein 1
Su-14813,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Bms-794833,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Mofarotene,Retinoid receptor modulator,Retinoid receptor
Cm-082,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Gsk-690693,Protein kinase C (PKC) inhibitor,Protein kinase C (PKC)
Balamapimod,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Pha-793887,Cyclin-dependent kinase inhibitor,Cyclin-dependent kinase
Pwt-33587,PI3-kinase class I inhibitor,PI3-kinase class I
Cep-2563,Neurotrophic tyrosine kinase receptor inhibitor,Neurotrophic tyrosine kinase receptor
Imd-2560,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor,Inhibitor of nuclear factor kappa B kinase beta subunit
Arry-797,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Savolitinib,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Selumetinib,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Tedatioxetine,Serotonin transporter inhibitor,Serotonin transporter
Tedatioxetine,Serotonin 3 (5-HT3) receptor antagonist,Serotonin 3 (5-HT3) receptor
Vestipitant,Neurokinin 1 receptor antagonist,Neurokinin 1 receptor
Taladegib,Smoothened homolog antagonist,Smoothened homolog
Oc000459,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Davalintide,"Amylin receptor AMY1, CALCR/RAMP1 agonist","Amylin receptor AMY1, CALCR/RAMP1"
K-877,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Bardoxolone Methyl,Keap1/Nrf2 inhibitor,Keap1/Nrf2
Linifanib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Tivozanib,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Ulimorelin,Ghrelin receptor agonist,Ghrelin receptor
Reminertant,Neurotensin receptor 1 antagonist,Neurotensin receptor 1
Ralfinamide,Voltage-gated N-type calcium channel alpha-1B subunit blocker,Voltage-gated N-type calcium channel alpha-1B subunit
Oregovomab,Mucin-16 other,Mucin-16
Patiromer,Potassium chelating agent,Potassium
Varespladib,Phospholipase A2 group IIA inhibitor,Phospholipase A2 group IIA
Obatoclax,Induced myeloid leukemia cell differentiation protein Mcl-1 inhibitor,Induced myeloid leukemia cell differentiation protein Mcl-1
Aminosalicylic Acid,Dihydrofolate reductase inhibitor,Dihydrofolate reductase
Flanvotumab,"5,6-dihydroxyindole-2-carboxylic acid oxidase other","5,6-dihydroxyindole-2-carboxylic acid oxidase"
Baminercept,Tumor necrosis factor ligand superfamily member 14 inhibitor,Tumor necrosis factor ligand superfamily member 14
Talizumab,Ig epsilon chain C region inhibitor,Ig epsilon chain C region
Rg-7686,Ganglioside GD3 other,Ganglioside GD3
Pwt-33579,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Ruplizumab,CD40 ligand inhibitor,CD40 ligand
Nafarelin,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
Bisoprolol,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
Ardeparin Sodium,Antithrombin-III activator,Antithrombin-III
Pemetrexed,Thymidylate synthase inhibitor,Thymidylate synthase
Anastrozole,Cytochrome P450 19A1 inhibitor,Cytochrome P450 19A1
Insulin Zinc Susp Semisynthetic Purified Human,Insulin receptor agonist,Insulin receptor
Promazine,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Risperidone,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Glucagon Hydrochloride,Glucagon receptor agonist,Glucagon receptor
Eplerenone,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Iloprost,Prostanoid IP receptor agonist,Prostanoid IP receptor
Phendimetrazine,Dopamine transporter inhibitor,Dopamine transporter
Clobetasol Propionate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Fluticasone Propionate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Alefacept,T-cell surface antigen CD2 inhibitor,T-cell surface antigen CD2
Oseltamivir,Neuraminidase inhibitor,Neuraminidase
Protriptyline,Norepinephrine transporter inhibitor,Norepinephrine transporter
Cabozantinib,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Doxycycline,Matrix metalloproteinase 7 inhibitor,Matrix metalloproteinase 7
Lovastatin,HMG-CoA reductase inhibitor,HMG-CoA reductase
Abciximab,Integrin alpha-IIb/beta-3 inhibitor,Integrin alpha-IIb/beta-3
Paclitaxel,Tubulin inhibitor,Tubulin
Cabazitaxel,Tubulin inhibitor,Tubulin
Nepafenac,Cyclooxygenase inhibitor,Cyclooxygenase
Oxyphenbutazone,Cyclooxygenase inhibitor,Cyclooxygenase
Gallium Nitrate,Ribonucleoside-diphosphate reductase RR1 inhibitor,Ribonucleoside-diphosphate reductase RR1
Dromostanolone Propionate,Androgen Receptor agonist,Androgen Receptor
Rivaroxaban,Coagulation factor X inhibitor,Coagulation factor X
Carfilzomib,26S proteosome inhibitor,26S proteosome
Bortezomib,26S proteosome inhibitor,26S proteosome
Spinosad,Nicotinic acetylcholine receptor agonist,Nicotinic acetylcholine receptor
Rasburicase,Uric acid oxidative enzyme,Uric acid
Cefotetan,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Minocycline,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Nystatin,Ergosterol sequestering agent,Ergosterol
Thioguanine,DNA inhibitor,DNA
Clofarabine,DNA polymerase (alpha/delta/epsilon) inhibitor,DNA polymerase (alpha/delta/epsilon)
Lipase,Fatty acids hydrolytic enzyme,Fatty acids
Secukinumab,Interleukin 17A inhibitor,Interleukin 17A
Jte-151,Nuclear receptor ROR-gamma antagonist,Nuclear receptor ROR-gamma
Azd-6738,Serine-protein kinase ATR inhibitor,Serine-protein kinase ATR
Cyc-116,Serine/threonine-protein kinase Aurora inhibitor,Serine/threonine-protein kinase Aurora
Glpg-0555,Tyrosine-protein kinase JAK1 inhibitor,Tyrosine-protein kinase JAK1
Sf-1126,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Elpetrigine,Sodium channel protein type III alpha subunit blocker,Sodium channel protein type III alpha subunit
Pf-04958242,Glutamate receptor ionotropic AMPA positive allosteric modulator,Glutamate receptor ionotropic AMPA
Irx-4204,Retinoid X receptor agonist,Retinoid X receptor
Prinaberel,Estrogen receptor beta agonist,Estrogen receptor beta
Picropodophyllotoxin,Insulin-like growth factor I receptor inhibitor,Insulin-like growth factor I receptor
Azd-1775,Serine/threonine-protein kinase WEE1 inhibitor,Serine/threonine-protein kinase WEE1
Sapitinib,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Foretinib,Tyrosine-protein kinase TIE-2 inhibitor,Tyrosine-protein kinase TIE-2
Rabusertib,Serine/threonine-protein kinase Chk1 inhibitor,Serine/threonine-protein kinase Chk1
Pf-04691502,PI3-kinase class I inhibitor,PI3-kinase class I
Gedatolisib,PI3-kinase class I inhibitor,PI3-kinase class I
Ronacaleret,Calcium sensing receptor antagonist,Calcium sensing receptor
Regrelor,Purinergic receptor P2Y12 antagonist,Purinergic receptor P2Y12
Bedoradrine,Beta-2 adrenergic receptor agonist,Beta-2 adrenergic receptor
Frakefamide,Mu opioid receptor agonist,Mu opioid receptor
Pozanicline,Neuronal acetylcholine receptor; alpha6/beta2 partial agonist,Neuronal acetylcholine receptor; alpha6/beta2
Linifanib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Etrolizumab,Integrin beta-7 antagonist,Integrin beta-7
Pemtumomab,Mucin-1 binding agent,Mucin-1
Ra-18c3,Interleukin-1 alpha inhibitor,Interleukin-1 alpha
Eteplirsen,Dystrophin pre-mRNA modulator,Dystrophin pre-mRNA
Azilsartan,Type-1 angiotensin II receptor antagonist,Type-1 angiotensin II receptor
Udenafil,Phosphodiesterase 5A inhibitor,Phosphodiesterase 5A
Tafamidis,Transthyretin stabiliser,Transthyretin
Apaziquone,DNA inhibitor,DNA
Bexagliflozin,Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
Mocetinostat,Histone deacetylase 3,Histone deacetylase 3
Fasinumab,Beta-nerve growth factor inhibitor,Beta-nerve growth factor
Elenbecestat,Beta-secretase 1 inhibitor,Beta-secretase 1
Methazolamide,Carbonic anhydrase I inhibitor,Carbonic anhydrase I
Methscopolamine,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Ramipril,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Clidinium,Muscarinic acetylcholine receptor M1 antagonist,Muscarinic acetylcholine receptor M1
Calcipotriene,Vitamin D receptor agonist,Vitamin D receptor
Ranolazine,Sodium channel protein type V alpha subunit blocker,Sodium channel protein type V alpha subunit
Insulin Zinc Susp Recombinant Human,Insulin receptor agonist,Insulin receptor
Dexamethasone Phosphoric Acid,Glucocorticoid receptor agonist,Glucocorticoid receptor
Desoximetasone,Glucocorticoid receptor agonist,Glucocorticoid receptor
Regorafenib,MAP kinase p38 beta inhibitor,MAP kinase p38 beta
Palifermin,Fibroblast growth factor receptor 2 agonist,Fibroblast growth factor receptor 2
Chlorzoxazone,Intermediate conductance calcium-activated potassium channel protein 4 opener,Intermediate conductance calcium-activated potassium channel protein 4
Amodiaquine,Ferriprotoporphyrin IX inhibitor,Ferriprotoporphyrin IX
Lithium Citrate,Glycogen synthase kinase-3 inhibitor,Glycogen synthase kinase-3
Ramelteon,Melatonin receptor agonist,Melatonin receptor
Bromfenac,Cyclooxygenase inhibitor,Cyclooxygenase
Ipilimumab,Cytotoxic T-lymphocyte protein 4 inhibitor,Cytotoxic T-lymphocyte protein 4
Hydroxychloroquine,Toll-like receptor 7 antagonist,Toll-like receptor 7
Nelfinavir,Human immunodeficiency virus type 1 protease inhibitor,Human immunodeficiency virus type 1 protease
Fesoterodine,Muscarinic acetylcholine receptor M2 antagonist,Muscarinic acetylcholine receptor M2
Sulbactam,Bacterial beta-lactamase TEM inhibitor,Bacterial beta-lactamase TEM
Chlorhexidine,Cell membrane inhibitor,Cell membrane
Grepafloxacin,DNA gyrase inhibitor,DNA gyrase
Bepridil,Voltage-gated calcium channel blocker,Voltage-gated calcium channel
Radium Dichloride,Radiotherapy agent,
Icosapent Ethyl,Unknown,
Ethinamate,Unknown,
Tedizolid Phosphate,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome
Eliglustat,Ceramide glucosyltransferase inhibitor,Ceramide glucosyltransferase
Alectinib,ALK tyrosine kinase receptor inhibitor,ALK tyrosine kinase receptor
Chf4227,Estrogen receptor modulator,Estrogen receptor
Amg-208,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Azd-0424,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Cp-724714,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Mln-0415,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor,Inhibitor of nuclear factor kappa B kinase beta subunit
Mln-1117,PI3-kinase p110-alpha subunit inhibitor,PI3-kinase p110-alpha subunit
Msc-2363318a,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Plx-7486,Nerve growth factor receptor Trk-A inhibitor,Nerve growth factor receptor Trk-A
Sr-13668,Serine/threonine-protein kinase AKT inhibitor,Serine/threonine-protein kinase AKT
Xl-228,Tyrosine-protein kinase ABL inhibitor,Tyrosine-protein kinase ABL
Gw590735,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Anlotinib,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
At-9283,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
Bms-754807,Insulin-like growth factor I receptor inhibitor,Insulin-like growth factor I receptor
Tanzisertib,c-Jun N-terminal kinase 1 inhibitor,c-Jun N-terminal kinase 1
Ci-1040,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Enmd-2076,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Ly377604,Beta-3 adrenergic receptor agonist,Beta-3 adrenergic receptor
Mk-1029,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
